Name,Value,DOB,Season,Competition,Club ID#,PPG,Goals,Assists,Minutes,Age,Yellow Cards,Double Yellow,Red Card,Goal Contribution
Cristiano Ronaldo,105.30,"Feb 5, 1985",2005,FA Cup,2,0.50,0,0,121',20,0,0,0,0.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2005,League Cup,4,2.50,2,1,343',20,1,0,0,3.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2005,Premier League,33,2.12,9,7,2.286',20,8,0,1,16.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2006,Champions League,11,1.91,3,5,951',21,3,0,0,8.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2006,FA Cup,7,2.00,3,1,558',21,0,0,0,4.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2006,League Cup,1,000,0,0,90',21,0,0,0,0.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2006,Premier League,34,2.32,17,15,2.787',21,2,0,0,32.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2007,Champions League,11,2.64,8,1,1.017',22,2,0,0,9.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2007,Community Shield,1,3.00,0,0,120',22,0,0,0,0.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2007,FA Cup,3,2.00,3,0,270',22,0,0,0,3.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2007,Premier League,34,2.38,31,7,2.747',22,5,0,1,38.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2008,Champions League,12,1.92,4,3,1.010',23,2,0,0,7.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2008,Club World Cup,2,3.00,1,1,180',23,0,0,0,2.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2008,FA Cup,2,3.00,1,1,144',23,0,0,0,2.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2008,League Cup,4,2.25,2,0,240',23,1,0,0,2.0
Cristiano Ronaldo,105.30,"Feb 5, 1985",2008,Premier League,33,2.42,18,7,2.745',23,5,1,0,25.0
Eden Hazard,103.50,"Jan 7, 1991",2010,Coupe de France,5.0,3.0,3,0,406',19,0,0,0,3.0
Eden Hazard,103.50,"Jan 7, 1991",2010,Coupe de la Ligue,2.0,1.5,2,1,134',19,0,0,0,3.0
Eden Hazard,103.50,"Jan 7, 1991",2010,Europa League,7.0,1.14,0,1,384',19,0,0,0,1.0
Eden Hazard,103.50,"Jan 7, 1991",2010,Europa League Qualifying,2.0,2.0,0,1,103',19,0,0,0,1.0
Eden Hazard,103.50,"Jan 7, 1991",2010,Ligue 1,38.0,2.0,7,11,3.083',19,2,0,0,18.0
Eden Hazard,103.50,"Jan 7, 1991",2011,Champions League,6.0,1.0,0,2,540',20,1,0,0,2.0
Eden Hazard,103.50,"Jan 7, 1991",2011,Coupe de France,3.0,2.0,1,0,270',20,0,0,0,1.0
Eden Hazard,103.50,"Jan 7, 1991",2011,Coupe de la Ligue,1.0,0.0,0,1,90',20,0,0,0,1.0
Eden Hazard,103.50,"Jan 7, 1991",2011,Ligue 1,38.0,1.95,20,18,3.212',20,2,0,0,38.0
Eden Hazard,103.50,"Jan 7, 1991",2011,Trophée des Champions,1.0,0.0,1,1,81',20,0,0,0,2.0
Eden Hazard,103.50,"Jan 7, 1991",2012,Champions League,6.0,1.67,0,3,457',21,0,0,0,3.0
Eden Hazard,103.50,"Jan 7, 1991",2012,Club World Cup,2.0,1.5,0,1,177',21,0,0,0,1.0
Eden Hazard,103.50,"Jan 7, 1991",2012,Community Shield,1.0,0.0,0,0,71',21,0,0,0,0.0
Eden Hazard,103.50,"Jan 7, 1991",2012,Europa League,7.0,2.29,1,2,448',21,0,0,0,3.0
Eden Hazard,103.50,"Jan 7, 1991",2012,FA Cup,6.0,2.17,1,2,365',21,1,0,0,3.0
Eden Hazard,103.50,"Jan 7, 1991",2012,League Cup,5.0,2.0,2,2,277',21,0,0,1,4.0
Eden Hazard,103.50,"Jan 7, 1991",2012,Premier League,34.0,2.0,9,14,2.638',21,2,0,0,23.0
Eden Hazard,103.50,"Jan 7, 1991",2012,UEFA Super Cup,1.0,0.0,0,0,90',21,0,0,0,0.0
Eden Hazard,103.50,"Jan 7, 1991",2013,Champions League,9.0,1.44,2,0,681',22,0,0,0,2.0
Eden Hazard,103.50,"Jan 7, 1991",2013,FA Cup,3.0,2.0,0,1,215',22,0,0,0,1.0
Eden Hazard,103.50,"Jan 7, 1991",2013,League Cup,1.0,0.0,0,0,37',22,0,0,0,0.0
Eden Hazard,103.50,"Jan 7, 1991",2013,Premier League,35.0,2.17,14,9,2.897',22,2,0,0,23.0
Eden Hazard,103.50,"Jan 7, 1991",2013,UEFA Super Cup,1.0,0.0,1,0,113',22,0,0,0,1.0
Eden Hazard,103.50,"Jan 7, 1991",2014,Champions League,7.0,1.86,3,3,654',23,1,0,0,6.0
Eden Hazard,103.50,"Jan 7, 1991",2014,FA Cup,1.0,0.0,0,0,14',23,0,0,0,0.0
Eden Hazard,103.50,"Jan 7, 1991",2014,League Cup,6.0,2.67,2,0,394',23,0,0,0,2.0
Eden Hazard,103.50,"Jan 7, 1991",2014,Premier League,38.0,2.29,14,10,3.379',23,2,0,0,24.0
Gareth Bale,90.90,"Jul 16, 1989",2008,FA Cup,2.0,1.5,0,0,157',19,0,0,0,0.0
Gareth Bale,90.90,"Jul 16, 1989",2008,League Cup,5.0,1.8,0,1,313',19,0,0,0,1.0
Gareth Bale,90.90,"Jul 16, 1989",2008,Premier League,16.0,0.31,0,0,994',19,2,0,1,0.0
Gareth Bale,90.90,"Jul 16, 1989",2008,UEFA Cup,7.0,1.71,0,2,630',19,2,0,0,2.0
Gareth Bale,90.90,"Jul 16, 1989",2009,FA Cup,8.0,1.88,0,4,739',20,0,0,0,4.0
Gareth Bale,90.90,"Jul 16, 1989",2009,League Cup,3.0,2.0,0,2,270',20,0,0,0,2.0
Gareth Bale,90.90,"Jul 16, 1989",2009,Premier League,23.0,1.87,3,5,1.708',20,2,0,0,8.0
Gareth Bale,90.90,"Jul 16, 1989",2010,Champions League,9.0,1.33,4,4,735',21,0,0,0,8.0
Gareth Bale,90.90,"Jul 16, 1989",2010,Champions League Qualifying,2.0,1.5,0,5,172',21,0,0,0,5.0
Gareth Bale,90.90,"Jul 16, 1989",2010,Premier League,30.0,1.53,7,2,2.449',21,1,0,0,9.0
Gareth Bale,90.90,"Jul 16, 1989",2011,Europa League,2.0,1.5,1,0,98',22,0,0,0,1.0
Gareth Bale,90.90,"Jul 16, 1989",2011,FA Cup,4.0,1.75,2,3,360',22,0,0,0,5.0
Gareth Bale,90.90,"Jul 16, 1989",2011,Premier League,36.0,1.83,10,14,3.217',22,3,0,0,24.0
Gareth Bale,90.90,"Jul 16, 1989",2012,Europa League,8.0,1.75,3,3,716',23,3,0,0,6.0
Gareth Bale,90.90,"Jul 16, 1989",2012,FA Cup,2.0,1.5,1,3,160',23,0,0,0,4.0
Gareth Bale,90.90,"Jul 16, 1989",2012,League Cup,1.0,0.0,1,0,90',23,1,0,0,1.0
Gareth Bale,90.90,"Jul 16, 1989",2012,Premier League,33.0,1.97,21,9,2.925',23,6,0,0,30.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2006,Champions League,2.0,1.5,0,1,98',19,0,0,0,1.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2006,Copa del Rey,2.0,1.0,0,0,180',19,0,0,0,0.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2006,LaLiga,19.0,2.11,2,3,1.263',19,2,0,0,5.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2006,Torneo Inicial,17.0,2.18,8,0,1.401',19,2,0,0,8.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2007,Champions League,5.0,2.0,0,0,153',20,0,0,0,0.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2007,Copa del Rey,4.0,1.0,1,1,321',20,0,0,0,2.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2007,LaLiga,25.0,1.96,8,3,870',20,2,0,0,11.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2008,Champions League,7.0,1.29,0,0,459',21,0,0,0,0.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2008,Copa del Rey,2.0,1.5,1,0,92',21,1,0,0,1.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2008,LaLiga,34.0,2.03,22,12,2.650',21,5,0,0,34.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2008,Supercopa,1.0,3.0,1,0,9',21,0,0,0,1.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2009,Champions League,7.0,2.0,2,1,470',22,1,0,0,3.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2009,Copa del Rey,1.0,3.0,0,0,90',22,0,0,0,0.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2009,LaLiga,32.0,2.59,27,7,2.395',22,3,0,0,34.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2010,Champions League,6.0,2.33,2,0,409',23,0,0,0,2.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2010,Copa del Rey,2.0,2.0,1,0,103',23,0,0,0,1.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2010,LaLiga,17.0,2.41,10,6,1.311',23,1,0,0,16.0
Gonzalo Higuaín,81.00,"Dec 10, 1987",2006,Libertadores,2.0,3.0,2,0,36',19,0,0,0,2.0
Romelu Lukaku,76.23,"May 13, 1993",2012,FA Cup,2.0,0.5,0,0,178',19,0,0,0,0.0
Romelu Lukaku,76.23,"May 13, 1993",2012,League Cup,1.0,0.0,0,0,70',19,0,0,0,0.0
Romelu Lukaku,76.23,"May 13, 1993",2012,Premier League,35.0,1.23,17,7,2.002',19,3,0,0,24.0
Romelu Lukaku,76.23,"May 13, 1993",2013,FA Cup,1.0,0.0,1,0,90',20,0,0,0,1.0
Romelu Lukaku,76.23,"May 13, 1993",2013,League Cup,1.0,0.0,0,0,90',20,0,0,0,0.0
Romelu Lukaku,76.23,"May 13, 1993",2013,Premier League,2.0,3.0,0,0,40',20,0,0,0,0.0
Romelu Lukaku,76.23,"May 13, 1993",2013,Premier League,31.0,2.03,15,8,2.563',20,1,0,0,23.0
Romelu Lukaku,76.23,"May 13, 1993",2013,UEFA Super Cup,1.0,0.0,0,0,22',20,1,0,0,0.0
Romelu Lukaku,76.23,"May 13, 1993",2014,Europa League,9.0,2.22,8,2,632',21,3,0,0,10.0
Romelu Lukaku,76.23,"May 13, 1993",2014,FA Cup,2.0,0.5,2,0,210',21,1,0,0,2.0
Romelu Lukaku,76.23,"May 13, 1993",2014,League Cup,1.0,0.0,0,0,44',21,0,0,0,0.0
Romelu Lukaku,76.23,"May 13, 1993",2014,Premier League,36.0,1.19,10,5,2.876',21,2,0,0,15.0
Romelu Lukaku,76.23,"May 13, 1993",2015,FA Cup,3.0,2.0,3,0,261',22,0,0,0,3.0
Romelu Lukaku,76.23,"May 13, 1993",2015,League Cup,6.0,2.5,4,0,588',22,0,0,0,4.0
Romelu Lukaku,76.23,"May 13, 1993",2015,Premier League,37.0,1.24,18,7,3.174',22,3,0,0,25.0
Romelu Lukaku,76.23,"May 13, 1993",2016,EFL Cup,1.0,3.0,0,1,90',23,0,0,0,1.0
Romelu Lukaku,76.23,"May 13, 1993",2016,FA Cup,1.0,0.0,1,0,90',23,0,0,0,1.0
Romelu Lukaku,76.23,"May 13, 1993",2016,Premier League,37.0,1.62,25,6,3.267',23,3,0,0,31.0
Luis Suárez,73.55,"Jan 24, 1987",2006,Eredivisie,29.0,1.48,10,6,2.310',19,7,0,0,16.0
Luis Suárez,73.55,"Jan 24, 1987",2006,Play-Offs Europa League,4.0,2.5,3,1,360',19,1,0,0,4.0
Luis Suárez,73.55,"Jan 24, 1987",2006,TOTO KNVB beker,2.0,1.5,1,0,180',19,1,0,0,1.0
Luis Suárez,73.55,"Jan 24, 1987",2006,UEFA Cup,2.0,1.5,1,0,79',19,0,0,0,1.0
Luis Suárez,73.55,"Jan 24, 1987",2007,Champions League Qualifying,2.0,0.0,1,0,162',20,0,0,0,1.0
Luis Suárez,73.55,"Jan 24, 1987",2007,Eredivisie,33.0,2.0,17,14,2.445',20,5,0,0,31.0
Luis Suárez,73.55,"Jan 24, 1987",2007,Play-Offs Europa League,4.0,1.75,2,0,306',20,2,0,0,2.0
Luis Suárez,73.55,"Jan 24, 1987",2007,TOTO KNVB beker,3.0,2.0,2,0,272',20,0,0,0,2.0
Luis Suárez,73.55,"Jan 24, 1987",2007,UEFA Cup,2.0,1.5,0,0,132',20,1,0,0,0.0
Luis Suárez,73.55,"Jan 24, 1987",2008,Eredivisie,31.0,1.97,22,15,2.703',21,9,0,0,37.0
Luis Suárez,73.55,"Jan 24, 1987",2008,TOTO KNVB beker,2.0,1.5,1,1,210',21,0,0,0,2.0
Luis Suárez,73.55,"Jan 24, 1987",2008,UEFA Cup,10.0,1.8,5,3,893',21,3,0,0,8.0
Luis Suárez,73.55,"Jan 24, 1987",2009,Eredivisie,33.0,2.48,35,17,2.970',22,5,0,0,52.0
Luis Suárez,73.55,"Jan 24, 1987",2009,Europa League,7.0,1.57,2,4,550',22,3,0,0,6.0
Luis Suárez,73.55,"Jan 24, 1987",2009,Europa League Qualifying,2.0,3.0,4,0,135',22,0,0,0,4.0
Luis Suárez,73.55,"Jan 24, 1987",2009,TOTO KNVB beker,6.0,3.0,8,3,446',22,4,0,0,11.0
Luis Suárez,73.55,"Jan 24, 1987",2010,Champions League,5.0,1.4,1,3,450',23,3,0,0,4.0
Luis Suárez,73.55,"Jan 24, 1987",2010,Champions League Qualifying,4.0,1.5,3,1,360',23,2,0,0,4.0
Luis Suárez,73.55,"Jan 24, 1987",2010,Eredivisie,13.0,1.85,7,7,1.170',23,4,0,0,14.0
Luis Suárez,73.55,"Jan 24, 1987",2010,Johan Cruijff Schaal,1.0,0.0,0,0,42',23,1,0,1,0.0
Luis Suárez,73.55,"Jan 24, 1987",2010,Premier League,13.0,1.77,4,5,1.101',23,2,0,0,9.0
Luis Suárez,73.55,"Jan 24, 1987",2010,TOTO KNVB beker,1.0,3.0,1,0,90',23,0,0,0,1.0
Luis Suárez,73.55,"Jan 24, 1987",2006,Libertadores,3.0,0.67,0,0,116',19,1,0,0,0.0
Nicolas Pépé,72.00,"May 29, 1995",2014,Coupe de la Ligue,1,000,0,0,17',19,1,0,0,0.0
Nicolas Pépé,72.00,"May 29, 1995",2014,Ligue 2,7,2.14,0,0,179',19,0,0,0,0.0
Nicolas Pépé,72.00,"May 29, 1995",2015,Championnat National,29,1.66,7,2,1.827',20,3,0,0,9.0
Nicolas Pépé,72.00,"May 29, 1995",2015,Coupe de la Ligue,1,000,0,0,90',20,0,0,0,0.0
Nicolas Pépé,72.00,"May 29, 1995",2016,Coupe de France,5,2.40,0,1,284',21,0,0,0,1.0
Nicolas Pépé,72.00,"May 29, 1995",2016,Coupe de la Ligue,1,000,0,0,38',21,1,0,0,0.0
Nicolas Pépé,72.00,"May 29, 1995",2016,Ligue 1,33,1.24,3,1,1.307',21,2,0,0,4.0
Nicolas Pépé,72.00,"May 29, 1995",2017,Coupe de France,2,1.50,1,0,112',22,0,0,0,1.0
Nicolas Pépé,72.00,"May 29, 1995",2017,Ligue 1,36,0.97,13,5,2.844',22,5,0,0,18.0
Nicolas Pépé,72.00,"May 29, 1995",2018,Coupe de France,2,1.50,1,1,180',23,0,0,0,2.0
Nicolas Pépé,72.00,"May 29, 1995",2018,Coupe de la Ligue,1,000,0,0,25',23,0,0,0,0.0
Nicolas Pépé,72.00,"May 29, 1995",2018,Ligue 1,38,1.97,22,11,3.332',23,1,0,0,33.0
Ángel Di María,67.50,"Feb 14, 1988",2007,Allianz Cup,3,1.33,0,0,259',19,0,0,0,0.0
Ángel Di María,67.50,"Feb 14, 1988",2007,Champions League,5,1.40,0,1,263',19,1,0,0,1.0
Ángel Di María,67.50,"Feb 14, 1988",2007,Champions League Qualifying,1,3.00,0,0,73',19,0,0,0,0.0
Ángel Di María,67.50,"Feb 14, 1988",2007,Liga NOS,26,1.77,0,4,1.405',19,5,0,0,4.0
Ángel Di María,67.50,"Feb 14, 1988",2007,UEFA Cup,4,1.00,1,0,133',19,0,0,0,1.0
Ángel Di María,67.50,"Feb 14, 1988",2008,Allianz Cup,5,3.00,1,1,242',20,1,0,0,2.0
Ángel Di María,67.50,"Feb 14, 1988",2008,Liga NOS,24,1.88,2,2,1.255',20,2,0,0,4.0
Ángel Di María,67.50,"Feb 14, 1988",2008,UEFA Cup,5,0.80,1,0,341',20,2,0,0,1.0
Ángel Di María,67.50,"Feb 14, 1988",2009,Allianz Cup,4,2.50,1,1,295',21,0,0,0,2.0
Ángel Di María,67.50,"Feb 14, 1988",2009,Europa League,12,2.17,3,6,972',21,1,0,0,9.0
Ángel Di María,67.50,"Feb 14, 1988",2009,Europa League Qualifying,2,1.50,1,0,117',21,0,0,0,1.0
Ángel Di María,67.50,"Feb 14, 1988",2009,Liga NOS,26,2.46,5,12,2.248',21,9,0,1,17.0
Ángel Di María,67.50,"Feb 14, 1988",2009,Taça de Portugal Placard,1,000,0,0,90',21,0,0,0,0.0
Ángel Di María,67.50,"Feb 14, 1988",2010,Champions League,10,2.10,3,3,722',22,2,0,0,6.0
Ángel Di María,67.50,"Feb 14, 1988",2010,Copa del Rey,8,2.75,0,7,523',22,2,1,0,7.0
Ángel Di María,67.50,"Feb 14, 1988",2010,LaLiga,35,2.37,6,16,2.324',22,6,0,0,22.0
Ángel Di María,67.50,"Feb 14, 1988",2011,Champions League,7,2.14,2,1,455',23,1,0,0,3.0
Ángel Di María,67.50,"Feb 14, 1988",2011,LaLiga,23,2.57,5,16,1.338',23,5,1,0,21.0
