Name,Value,DOB,Season,Competition,Club ID#,PPG,Goals,Assists,Minutes,Age,Yellow Cards,Double Yellow,Red Card
Eden Hazard,103.50,"Jan 7, 1991",2013,League Cup,1.0,0.0,-,-,37',22,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2013,Premier League,35.0,2.17,14,9,2.897',22,2 , - , -
Eden Hazard,103.50,"Jan 7, 1991",2013,UEFA Super Cup,1.0,0.0,1,-,113',22,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2014,Champions League,7.0,1.86,3,3,654',23,1 , - , -
Eden Hazard,103.50,"Jan 7, 1991",2014,FA Cup,1.0,0.0,-,-,14',23,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2014,League Cup,6.0,2.67,2,-,394',23,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2014,Premier League,38.0,2.29,14,10,3.379',23,2 , - , -
Gareth Bale,90.90,"Jul 16, 1989",2008,FA Cup,2.0,1.5,-,-,157',19,- , - , -
Gareth Bale,90.90,"Jul 16, 1989",2008,League Cup,5.0,1.8,-,1,313',19,- , - , -
Gareth Bale,90.90,"Jul 16, 1989",2008,Premier League,16.0,0.31,-,-,994',19,2 , - , 1
Gareth Bale,90.90,"Jul 16, 1989",2008,UEFA Cup,7.0,1.71,-,2,630',19,2 , - , -
Gareth Bale,90.90,"Jul 16, 1989",2009,FA Cup,8.0,1.88,-,4,739',20,- , - , -
Gareth Bale,90.90,"Jul 16, 1989",2009,League Cup,3.0,2.0,-,2,270',20,- , - , -
Gareth Bale,90.90,"Jul 16, 1989",2009,Premier League,23.0,1.87,3,5,1.708',20,2 , - , -
Gareth Bale,90.90,"Jul 16, 1989",2010,Champions League,9.0,1.33,4,4,735',21,- , - , -
Gareth Bale,90.90,"Jul 16, 1989",2010,Champions League Qualifying,2.0,1.5,-,5,172',21,- , - , -
Gareth Bale,90.90,"Jul 16, 1989",2010,Premier League,30.0,1.53,7,2,2.449',21,1 , - , -
Gareth Bale,90.90,"Jul 16, 1989",2011,Europa League,2.0,1.5,1,-,98',22,- , - , -
Gareth Bale,90.90,"Jul 16, 1989",2011,FA Cup,4.0,1.75,2,3,360',22,- , - , -
Gareth Bale,90.90,"Jul 16, 1989",2011,Premier League,36.0,1.83,10,14,3.217',22,3 , - , -
Gareth Bale,90.90,"Jul 16, 1989",2012,Europa League,8.0,1.75,3,3,716',23,3 , - , -
Gareth Bale,90.90,"Jul 16, 1989",2012,FA Cup,2.0,1.5,1,3,160',23,- , - , -
Gareth Bale,90.90,"Jul 16, 1989",2012,League Cup,1.0,0.0,1,-,90',23,1 , - , -
Gareth Bale,90.90,"Jul 16, 1989",2012,Premier League,33.0,1.97,21,9,2.925',23,6 , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2006,Champions League,2.0,1.5,-,1,98',19,- , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2006,Copa del Rey,2.0,1.0,-,-,180',19,- , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2006,LaLiga,19.0,2.11,2,3,1.263',19,2 , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2006,Torneo Inicial,17.0,2.18,8,-,1.401',19,2 , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2007,Champions League,5.0,2.0,-,-,153',20,- , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2007,Copa del Rey,4.0,1.0,1,1,321',20,- , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2007,LaLiga,25.0,1.96,8,3,870',20,2 , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2008,Champions League,7.0,1.29,-,-,459',21,- , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2008,Copa del Rey,2.0,1.5,1,-,92',21,1 , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2008,LaLiga,34.0,2.03,22,12,2.650',21,5 , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2008,Supercopa,1.0,3.0,1,-,9',21,- , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2009,Champions League,7.0,2.0,2,1,470',22,1 , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2009,Copa del Rey,1.0,3.0,-,-,90',22,- , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2009,LaLiga,32.0,2.59,27,7,2.395',22,3 , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2010,Champions League,6.0,2.33,2,-,409',23,- , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2010,Copa del Rey,2.0,2.0,1,-,103',23,- , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2010,LaLiga,17.0,2.41,10,6,1.311',23,1 , - , -
Gonzalo Higuaín,81.00,"Dec 10, 1987",2006,Libertadores,2.0,3.0,2,-,36',19,- , - , -
Romelu Lukaku,76.23,"May 13, 1993",2012,FA Cup,2,0.50,-,-,178',19,- , - , -
Romelu Lukaku,76.23,"May 13, 1993",2012,League Cup,1,000,-,-,70',19,- , - , -
Romelu Lukaku,76.23,"May 13, 1993",2012,Premier League,35,1.23,17,7,2.002',19,3 , - , -
Romelu Lukaku,76.23,"May 13, 1993",2013,FA Cup,1,000,1,-,90',20,- , - , -
Romelu Lukaku,76.23,"May 13, 1993",2013,League Cup,1,000,-,-,90',20,- , - , -
Romelu Lukaku,76.23,"May 13, 1993",2013,Premier League,2,3.00,-,-,40',20,- , - , -
Romelu Lukaku,76.23,"May 13, 1993",2013,Premier League,31,2.03,15,8,2.563',20,1 , - , -
Romelu Lukaku,76.23,"May 13, 1993",2013,UEFA Super Cup,1,000,-,-,22',20,1 , - , -
Romelu Lukaku,76.23,"May 13, 1993",2014,Europa League,9,2.22,8,2,632',21,3 , - , -
Romelu Lukaku,76.23,"May 13, 1993",2014,FA Cup,2,0.50,2,-,210',21,1 , - , -
Romelu Lukaku,76.23,"May 13, 1993",2014,League Cup,1,000,-,-,44',21,- , - , -
Romelu Lukaku,76.23,"May 13, 1993",2014,Premier League,36,1.19,10,5,2.876',21,2 , - , -
Romelu Lukaku,76.23,"May 13, 1993",2015,FA Cup,3,2.00,3,-,261',22,- , - , -
Romelu Lukaku,76.23,"May 13, 1993",2015,League Cup,6,2.50,4,-,588',22,- , - , -
Romelu Lukaku,76.23,"May 13, 1993",2015,Premier League,37,1.24,18,7,3.174',22,3 , - , -
Romelu Lukaku,76.23,"May 13, 1993",2016,EFL Cup,1,3.00,-,1,90',23,- , - , -
Romelu Lukaku,76.23,"May 13, 1993",2016,FA Cup,1,000,1,-,90',23,- , - , -
Romelu Lukaku,76.23,"May 13, 1993",2016,Premier League,37,1.62,25,6,3.267',23,3 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2006,Eredivisie,29.0,1.48,10,6,2.310',19,7 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2006,Play-Offs Europa League,4.0,2.5,3,1,360',19,1 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2006,TOTO KNVB beker,2.0,1.5,1,-,180',19,1 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2006,UEFA Cup,2.0,1.5,1,-,79',19,- , - , -
Luis Suárez,73.55,"Jan 24, 1987",2007,Champions League Qualifying,2.0,0.0,1,-,162',20,- , - , -
Luis Suárez,73.55,"Jan 24, 1987",2007,Eredivisie,33.0,2.0,17,14,2.445',20,5 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2007,Play-Offs Europa League,4.0,1.75,2,-,306',20,2 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2007,TOTO KNVB beker,3.0,2.0,2,-,272',20,- , - , -
Luis Suárez,73.55,"Jan 24, 1987",2007,UEFA Cup,2.0,1.5,-,-,132',20,1 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2008,Eredivisie,31.0,1.97,22,15,2.703',21,9 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2008,TOTO KNVB beker,2.0,1.5,1,1,210',21,- , - , -
Luis Suárez,73.55,"Jan 24, 1987",2008,UEFA Cup,10.0,1.8,5,3,893',21,3 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2009,Eredivisie,33.0,2.48,35,17,2.970',22,5 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2009,Europa League,7.0,1.57,2,4,550',22,3 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2009,Europa League Qualifying,2.0,3.0,4,-,135',22,- , - , -
Luis Suárez,73.55,"Jan 24, 1987",2009,TOTO KNVB beker,6.0,3.0,8,3,446',22,4 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2010,Champions League,5.0,1.4,1,3,450',23,3 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2010,Champions League Qualifying,4.0,1.5,3,1,360',23,2 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2010,Eredivisie,13.0,1.85,7,7,1.170',23,4 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2010,Johan Cruijff Schaal,1.0,0.0,-,-,42',23,1 , - , 1
Luis Suárez,73.55,"Jan 24, 1987",2010,Premier League,13.0,1.77,4,5,1.101',23,2 , - , -
Luis Suárez,73.55,"Jan 24, 1987",2010,TOTO KNVB beker,1.0,3.0,1,-,90',23,- , - , -
Nicolas Pépé,72.00,"May 29, 1995",2014,Coupe de la Ligue,1,000,-,-,17',19,1 , - , -
Nicolas Pépé,72.00,"May 29, 1995",2014,Ligue 2,7,2.14,-,-,179',19,- , - , -
Nicolas Pépé,72.00,"May 29, 1995",2015,Championnat National,29,1.66,7,2,1.827',20,3 , - , -
Nicolas Pépé,72.00,"May 29, 1995",2015,Coupe de la Ligue,1,000,-,-,90',20,- , - , -
Nicolas Pépé,72.00,"May 29, 1995",2016,Coupe de France,5,2.40,-,1,284',21,- , - , -
Nicolas Pépé,72.00,"May 29, 1995",2016,Coupe de la Ligue,1,000,-,-,38',21,1 , - , -
Nicolas Pépé,72.00,"May 29, 1995",2016,Ligue 1,33,1.24,3,1,1.307',21,2 , - , -
Nicolas Pépé,72.00,"May 29, 1995",2017,Coupe de France,2,1.50,1,-,112',22,- , - , -
Nicolas Pépé,72.00,"May 29, 1995",2017,Ligue 1,36,0.97,13,5,2.844',22,5 , - , -
Nicolas Pépé,72.00,"May 29, 1995",2018,Coupe de France,2,1.50,1,1,180',23,- , - , -
Nicolas Pépé,72.00,"May 29, 1995",2018,Coupe de la Ligue,1,000,-,-,25',23,- , - , -
Nicolas Pépé,72.00,"May 29, 1995",2018,Ligue 1,38,1.97,22,11,3.332',23,1 , - , -
Ángel Di María,67.50,"Feb 14, 1988",2007,Allianz Cup,3,1.33,-,-,259',19,- , - , -
Ángel Di María,67.50,"Feb 14, 1988",2007,Champions League,5,1.40,-,1,263',19,1 , - , -
Ángel Di María,67.50,"Feb 14, 1988",2007,Champions League Qualifying,1,3.00,-,-,73',19,- , - , -
Ángel Di María,67.50,"Feb 14, 1988",2007,Liga NOS,26,1.77,-,4,1.405',19,5 , - , -
Ángel Di María,67.50,"Feb 14, 1988",2007,UEFA Cup,4,1.00,1,-,133',19,- , - , -
Ángel Di María,67.50,"Feb 14, 1988",2008,Allianz Cup,5,3.00,1,1,242',20,1 , - , -
Ángel Di María,67.50,"Feb 14, 1988",2008,Liga NOS,24,1.88,2,2,1.255',20,2 , - , -
Ángel Di María,67.50,"Feb 14, 1988",2008,UEFA Cup,5,0.80,1,-,341',20,2 , - , -
Ángel Di María,67.50,"Feb 14, 1988",2009,Allianz Cup,4,2.50,1,1,295',21,- , - , -
Ángel Di María,67.50,"Feb 14, 1988",2009,Europa League,12,2.17,3,6,972',21,1 , - , -
Ángel Di María,67.50,"Feb 14, 1988",2009,Europa League Qualifying,2,1.50,1,-,117',21,- , - , -
Ángel Di María,67.50,"Feb 14, 1988",2009,Liga NOS,26,2.46,5,12,2.248',21,9 , - , 1
Ángel Di María,67.50,"Feb 14, 1988",2009,Taça de Portugal Placard,1,000,-,-,90',21,- , - , -
Ángel Di María,67.50,"Feb 14, 1988",2010,Champions League,10,2.10,3,3,722',22,2 , - , -
Ángel Di María,67.50,"Feb 14, 1988",2010,Copa del Rey,8,2.75,-,7,523',22,2 , 1 , -
Ángel Di María,67.50,"Feb 14, 1988",2010,LaLiga,35,2.37,6,16,2.324',22,6 , - , -
Ángel Di María,67.50,"Feb 14, 1988",2011,Champions League,7,2.14,2,1,455',23,1 , - , -
Ángel Di María,67.50,"Feb 14, 1988",2011,LaLiga,23,2.57,5,16,1.338',23,5 , 1 , -
Ángel Di María,67.50,"Feb 14, 1988",2011,Supercopa,2,0.50,-,-,117',23,- , - , -
Victor Osimhen,63.00,"Dec 29, 1998",2017,Bundesliga,12.0,0.75,-,-,278',19,- , - , -
Victor Osimhen,63.00,"Dec 29, 1998",2017,DFB-Pokal,1.0,0.0,-,-,40',19,- , - , -
Victor Osimhen,63.00,"Dec 29, 1998",2018,Beker van Belgie,2.0,1.5,1,-,110',20,- , - , -
Victor Osimhen,63.00,"Dec 29, 1998",2018,JPL Playoff II,7.0,2.71,4,1,621',20,1 , - , -
Victor Osimhen,63.00,"Dec 29, 1998",2018,Jupiler Pro League,25.0,1.56,12,3,2.029',20,1 , - , -
Victor Osimhen,63.00,"Dec 29, 1998",2018,Jupiler Pro League playoff Europa League,2.0,1.5,3,-,175',20,1 , - , -
Victor Osimhen,63.00,"Dec 29, 1998",2019,Champions League,5.0,0.2,2,-,450',21,1 , - , -
Victor Osimhen,63.00,"Dec 29, 1998",2019,Coupe de France,3.0,2.0,1,-,70',21,- , - , -
Victor Osimhen,63.00,"Dec 29, 1998",2019,Coupe de la Ligue,3.0,2.0,2,1,203',21,- , - , -
Victor Osimhen,63.00,"Dec 29, 1998",2019,Ligue 1,27.0,1.81,13,5,2.289',21,4 , - , -
Victor Osimhen,63.00,"Dec 29, 1998",2020,Serie A,2.0,3.0,-,1,119',22,1 , - , -
Thomas Lemar,63.00,"Nov 12, 1995",2014,Coupe de France,-,-,-,-,-,19,- , - , -
Thomas Lemar,63.00,"Nov 12, 1995",2014,Coupe de la Ligue,1,000,-,1,120',19,- , - , -
Thomas Lemar,63.00,"Nov 12, 1995",2014,Ligue 1,25,1.28,1,4,716',19,1 , - , -
Thomas Lemar,63.00,"Nov 12, 1995",2015,Champions League Qualifying,1,3.00,-,-,38',20,- , - , -
Thomas Lemar,63.00,"Nov 12, 1995",2015,Coupe de France,2,1.50,-,2,118',20,- , - , -
Thomas Lemar,63.00,"Nov 12, 1995",2015,Coupe de la Ligue,1,000,-,-,29',20,- , - , -
